name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
before,0.00814,0.00627,0.004391,0.003022,0.004625,0.010128,0.003974,0.003778,0.005956,0.005327
better,0.005301,0.005917,0.006227,0.003075,0.00573,0.007957,0.003977,0.004473,0.008186,0.004732
true,0.002202,0.002902,0.032792,0.001368,0.003246,0.003216,0.001773,0.001268,0.002245,0.004433
plur,0.0,0.001853,0.0008,0.001395,0.003878,0.018297,0.022617,0.00448,0.000158,0.001494
drop,0.001005,0.0145,0.003387,0.003862,0.002858,0.002856,0.005194,0.010283,0.002994,0.007494
getting,0.004284,0.00603,0.003632,0.00287,0.006161,0.009865,0.004711,0.003441,0.007788,0.005523
aboveandbeyond,0.0,0.01048,0.000874,0.003218,0.006433,0.004421,0.001986,0.001315,0.002983,0.022588
nothing,0.002244,0.003926,0.003036,0.028509,0.002312,0.002908,0.002331,0.002955,0.00246,0.00336
everyone,0.00305,0.00594,0.007149,0.002789,0.004897,0.010602,0.005407,0.003333,0.003957,0.006802
text,0.0008,0.00186,0.001461,0.026614,0.009378,0.007883,0.003916,0.000344,0.001068,0.000551
benny,0.0,0.003101,0.003901,0.032899,0.001063,0.002388,0.001529,0.006558,0.000717,0.001678
excited,0.003393,0.007642,0.004521,0.002584,0.008704,0.01259,0.002949,0.001424,0.003763,0.006184
hope,0.003622,0.006862,0.008406,0.002923,0.004754,0.00806,0.005237,0.002807,0.00648,0.00447
benassi,0.0,0.003007,0.00386,0.032872,0.001149,0.002256,0.001413,0.006525,0.000581,0.001612
stop,0.00518,0.009217,0.00457,0.003254,0.004352,0.004598,0.003459,0.004865,0.004501,0.008606
brother,0.00077,0.000427,0.045156,0.000268,0.002714,0.000628,0.000531,0.000445,0.001225,0.000414
kaskade,0.001215,0.006041,0.004228,0.003495,0.009867,0.01223,0.009051,0.001188,0.000434,0.004543
call,0.004482,0.00363,0.009018,0.00202,0.003519,0.009431,0.003532,0.006767,0.005407,0.004111
being,0.007021,0.004946,0.006129,0.007465,0.006233,0.005392,0.002749,0.003016,0.004056,0.004762
lights,0.000403,0.002471,0.000931,0.029385,0.006305,0.002028,0.00329,0.003799,0.001675,0.001327
daybreak,0.0,0.051521,0.0,0.0,8.6e-05,0.0,0.0,0.0,0.0,0.0
pandora,0.001438,0.003536,0.010707,0.016521,0.005357,0.00044,0.001096,0.008622,0.002952,0.000521
sounds,0.00509,0.005006,0.004562,0.002816,0.002585,0.002302,0.004814,0.010843,0.007757,0.005312
ultra2014,0.0,0.014313,0.00195,0.000894,0.026412,0.002153,0.002166,0.00052,0.0,0.002618
playlist,0.002984,0.001361,0.007607,0.004032,0.001738,0.001445,0.002848,0.020761,0.005255,0.002917
beautiful,0.000909,0.00927,0.002432,0.016789,0.002801,0.004112,0.005027,0.003097,0.002685,0.003726
dare,0.000277,0.00012,0.000131,0.000125,0.04942,0.000114,0.000183,0.000155,0.000141,0.0001
skrillex,0.00145,0.003085,0.006113,0.002906,0.002686,0.002073,0.009387,0.018353,0.003544,0.001087
exclusive,0.000921,0.001594,0.002041,0.001484,0.003203,0.000743,0.014958,0.018109,0.003664,0.003896
hakkasanlv,0.0,0.009479,0.000155,0.004711,0.025075,0.007027,0.001294,0.000243,0.000141,0.001982
beats,0.000788,0.002212,0.001323,0.001385,0.001422,0.002451,0.016304,0.012361,0.006904,0.004754
adamlambert,0.000259,0.0,0.049269,0.000107,0.0,0.0,0.0,0.0,0.0,0.000251
sure,0.004651,0.005085,0.004391,0.00228,0.005788,0.00666,0.006562,0.004183,0.005208,0.004492
another,0.00379,0.005238,0.004913,0.00228,0.004309,0.00658,0.004685,0.003239,0.007579,0.00617
rock,0.000927,0.002062,0.00342,0.005418,0.001235,0.001582,0.017782,0.005809,0.006427,0.00406
away,0.003195,0.00582,0.002897,0.005829,0.004653,0.009585,0.004014,0.00361,0.003151,0.005734
family,0.002882,0.010784,0.000873,0.0016,0.00214,0.005124,0.015465,0.002665,0.002612,0.004192
control,0.001925,0.000611,0.000392,0.040328,0.000431,0.000583,0.001004,0.001849,0.000628,0.000529
help,0.012743,0.003315,0.002138,0.004801,0.00326,0.006192,0.003262,0.002598,0.003643,0.006004
trancefamily,0.0,0.023114,0.000514,0.001949,0.002155,0.002296,0.011829,0.00139,0.00043,0.004245
hard,0.003357,0.005021,0.002285,0.005596,0.006808,0.006215,0.004987,0.004932,0.004548,0.003893
keep,0.003875,0.004792,0.002106,0.005292,0.004251,0.004073,0.004433,0.002861,0.00503,0.010488
